"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type"
"fixed.acidity",1,0.214752092151415,0.330328203303273,-0.104438530107266,0.288917660810135,-0.281589559500767,-0.327470927207105,0.478179887504146,-0.271181806696455,0.304844450875756,-0.102573458449736,-0.0800920009565142,-0.486252913935122
"volatile.acidity",0.214752092151415,1,-0.384191985752452,-0.163696181585341,0.367625931806586,-0.349039022456349,-0.400715842608123,0.308452050425403,0.246686676443305,0.227771946129712,-0.0654109184608944,-0.265205082905673,-0.645334847102068
"citric.acid",0.330328203303273,-0.384191985752452,1,0.146189131558071,0.0551994435027629,0.130849089671854,0.194834867590139,0.0947578199146648,-0.344735180457778,0.0591834624090254,-0.00549567611746814,0.0979538607576475,0.183758994909778
"residual.sugar",-0.104438530107266,-0.163696181585341,0.146189131558071,1,-0.123094424574362,0.398717329648468,0.487519021353501,0.520930296678071,-0.234521833848593,-0.174716857435106,-0.305242035589937,-0.0568296755750431,0.32869493336174
"chlorides",0.288917660810135,0.367625931806586,0.0551994435027629,-0.123094424574362,1,-0.186614616136677,-0.269816714365097,0.371866567616749,0.0258233707053997,0.405050690646104,-0.269600953685459,-0.202137358469123,-0.499516943478272
"free.sulfur.dioxide",-0.281589559500767,-0.349039022456349,0.130849089671854,0.398717329648468,-0.186614616136677,1,0.720488462336397,0.00616627195860494,-0.141747278206466,-0.198243676403756,-0.17001198830123,0.0540015036638517,0.465326037669534
"total.sulfur.dioxide",-0.327470927207105,-0.400715842608123,0.194834867590139,0.487519021353501,-0.269816714365097,0.720488462336397,1,0.00671123301566384,-0.222956485262221,-0.275836458220436,-0.249003965191872,-0.050296305939232,0.694228728794995
"density",0.478179887504146,0.308452050425403,0.0947578199146648,0.520930296678071,0.371866567616749,0.00616627195860494,0.00671123301566384,1,0.0342725224417489,0.282690353632813,-0.667811425858691,-0.326434464538855,-0.429377072543703
"pH",-0.271181806696455,0.246686676443305,-0.344735180457778,-0.234521833848593,0.0258233707053997,-0.141747278206466,-0.222956485262221,0.0342725224417489,1,0.168150426585827,0.0973138323416935,0.0397327520429131,-0.310919082331109
"sulphates",0.304844450875756,0.227771946129712,0.0591834624090254,-0.174716857435106,0.405050690646104,-0.198243676403756,-0.275836458220436,0.282690353632813,0.168150426585827,1,-0.0172316812554211,0.041884175906571,-0.490363887747541
"alcohol",-0.102573458449736,-0.0654109184608944,-0.00549567611746814,-0.305242035589937,-0.269600953685459,-0.17001198830123,-0.249003965191872,-0.667811425858691,0.0973138323416935,-0.0172316812554211,1,0.469421837941151,0.0577561652962041
"quality",-0.0800920009565142,-0.265205082905673,0.0979538607576475,-0.0568296755750431,-0.202137358469123,0.0540015036638517,-0.050296305939232,-0.326434464538855,0.0397327520429131,0.041884175906571,0.469421837941151,1,0.114809124918952
"type",-0.486252913935122,-0.645334847102068,0.183758994909778,0.32869493336174,-0.499516943478272,0.465326037669534,0.694228728794995,-0.429377072543703,-0.310919082331109,-0.490363887747541,0.0577561652962041,0.114809124918952,1
