"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type","id"
"1",0.140051174278958,2.11514995935716,-2.16431183966182,-0.699633650229186,0.523831090353787,-1.06917193384506,-1.41101045561116,1.10089211045915,1.77913633333376,0.177923976319811,-0.969060897703495,5,0,1
"2",0.443157097356122,3.18499757485048,-2.16431183966182,-0.54408432077328,1.12063037795242,-0.282877926115807,-0.829760759269015,0.763681423368047,-0.153782619316807,0.979297381728075,-0.631773694970346,5,0,2
"3",0.443157097356122,2.47176583118827,-1.89249392319629,-0.610748319111525,0.957866935880064,-0.844516503065274,-1.0587379123735,0.83112356078626,0.220330726357494,0.778954030376009,-0.631773694970346,5,0,3
"4",3.01955744351202,-0.381161143460584,1.64113899085565,-0.699633650229186,0.496703850008395,-0.732188787675381,-0.953056149402197,1.16833424787736,-0.403191516433009,0.311486210554521,-0.631773694970346,6,0,4
"6",0.140051174278958,1.87740604480309,-2.16431183966182,-0.721854983008602,0.496703850008395,-0.956844218455167,-1.30532869263986,1.10089211045915,1.77913633333376,0.177923976319811,-0.969060897703495,5,0,5
"7",0.518933578125413,1.52079017297198,-1.75658496496352,-0.766297648567432,0.333940407936042,-0.844516503065274,-0.97066977656408,0.628797148531584,0.469739623473696,-0.489887194853742,-0.969060897703495,5,0,6
"8",0.0642746935096667,1.81797006616457,-2.16431183966182,-0.855182979685093,0.225431446554472,-0.844516503065274,-1.63998760871564,0.0218179117676313,1.03090964198515,-0.423106077736387,-0.463130093603772,7,0,7
"9",0.443157097356122,1.40191821569495,-2.02840288142905,-0.677412317449771,0.44244936931761,-1.18149964923495,-1.69282849020129,0.763681423368047,0.843852969148,0.244705093437166,-0.884739097020208,7,0,8
"10",0.215827655048249,0.926430386586805,0.282049408527981,0.233662326506253,0.388194888626826,-0.732188787675381,-0.213283808603104,1.10089211045915,0.78150074486895,1.78067078713634,-0.0415210901873355,5,0,9
"11",-0.390384191106079,1.40191821569495,-1.62067600673075,-0.721854983008602,1.09350313760703,-0.844516503065274,-0.864988013592781,0.460191804986052,0.345035174915595,0.0443617420851005,-1.13770449907007,5,0,10
"13",-1.22392547956828,1.60994414092976,-2.16431183966182,-0.766297648567432,0.876485214843887,-0.788352645370327,-0.97066977656408,-0.0793452943597253,2.21560190328711,-0.0892004921496103,-0.547451894287059,5,0,11
"14",0.443157097356122,1.5802261516105,-0.193631945286702,-0.766297648567432,1.55466622347869,-1.18149964923495,-1.49907859142058,0.966007835622685,0.220330726357494,6.85603568805535,-1.22202629975336,5,0,12
"15",1.27669838581832,1.63966213024902,-0.941131215566919,-0.277428327420297,3.23655512489302,1.23354623164775,0.544102159357872,1.37066066013204,-0.403191516433009,2.31491972407518,-1.13770449907007,5,0,13
"16",1.27669838581832,1.63966213024902,-0.873176736450535,-0.255206994640882,3.07379168282066,1.17738237395281,0.596943040843521,1.37066066013204,-0.34083929215396,2.64882530966196,-1.13770449907007,5,0,14
"17",0.973592462741159,-0.381161143460584,1.64113899085565,-0.721854983008602,0.957866935880064,0.278760650833659,-0.195670181441221,0.797402492077153,0.469739623473696,1.44676520154956,-0.0415210901873355,7,0,15
"18",0.670486539663995,1.28304625841791,-0.261586424403085,-0.744076315788017,8.44498527120833,-0.788352645370327,-1.02351065804973,0.763681423368047,-0.714952637828263,4.9861644087694,-1.05338269838678,5,0,16
"19",0.140051174278958,1.46135419433346,-1.62067600673075,-0.144100330743806,0.79510349380771,-1.34999122231979,-1.49907859142058,0.966007835622685,0.968557417706101,-0.222762726384321,-1.30634810043664,4,0,17
"20",0.518933578125413,-0.143417228906514,1.30136659527373,-0.721854983008602,7.71254978188274,-0.732188787675381,-1.02351065804973,0.797402492077153,-1.15141820778162,3.65054206642229,-1.13770449907007,6,0,18
"21",1.27669838581832,-0.737777015291691,1.09750315792458,-0.721854983008602,0.55095833069918,-0.0582224953360208,-0.953056149402197,0.763681423368047,1.03090964198515,-0.0224193750322549,-0.969060897703495,6,0,19
"22",0.29160413581754,0.27263462156311,-0.0577229870539354,-0.610748319111525,0.686594532426141,-0.395205641505701,-0.759306250621482,1.23577638529557,1.84148855761281,0.778954030376009,-0.716095495653634,5,0,20
"23",0.518933578125413,0.510378536117181,-0.737267778217769,-0.766297648567432,1.33764830071556,-1.12533579154001,-1.35816957412551,0.696239285949834,-0.34083929215396,2.51526307542725,-0.884739097020208,5,0,21
"24",0.973592462741159,0.866994407948288,-1.4168125693816,-0.610748319111525,0.740849013116926,-1.18149964923495,-0.829760759269015,0.763681423368047,-0.34083929215396,-0.0224193750322549,-0.969060897703495,5,0,22
"25",-0.238831229567497,0.332070600201628,-1.21294913203245,-0.58852698633211,0.767976253462318,-0.507533356895594,-1.30532869263986,0.763681423368047,1.28031853910135,0.645391796141298,-0.716095495653634,6,0,23
"26",-0.693490114183243,0.27263462156311,-1.07704017379969,-0.810740314126262,0.632340051735357,-1.06917193384506,-1.60476035439187,0.325307530149626,0.719148520589898,0.177923976319811,-1.05338269838678,5,0,24
"27",0.29160413581754,0.391506578840146,-0.533404340868619,-0.721854983008602,0.632340051735357,-1.46231893770969,-1.81612388033447,0.561355011113371,0.345035174915595,0.378267327671877,-0.884739097020208,5,0,25
"29",-0.0872782680289155,2.17458593799568,-2.16431183966182,-0.699633650229186,0.632340051735357,-0.900680360760221,-1.39339682844928,0.898565698204473,1.52972743621756,0.111142859202456,-0.969060897703495,5,0,26
"30",0.443157097356122,1.78825207684531,-2.16431183966182,-0.677412317449771,0.686594532426141,-1.2376635069299,-1.72805574452506,0.628797148531584,0.968557417706101,0.378267327671877,-0.631773694970346,6,0,27
"31",-0.390384191106079,1.96656001276087,-1.68863048584714,-0.58852698633211,0.876485214843887,-0.732188787675381,-0.565556351840767,0.426470736276946,0.78150074486895,0.0443617420851005,-0.378808292920485,5,0,28
"32",-0.238831229567497,2.02599599139938,-2.16431183966182,-0.566305653552695,1.31052106037016,-0.451369499200647,-1.35816957412551,0.696239285949834,1.46737521193851,0.244705093437166,0.0428007104959514,6,0,29
"33",0.822039501202577,1.84768805548383,-1.34885809026522,-0.610748319111525,0.713721772771533,-0.844516503065274,-0.0195339098223893,0.696239285949834,-0.34083929215396,0.845735147493365,-0.631773694970346,5,0,30
"34",-0.238831229567497,1.55050816229124,-1.34885809026522,1.25584363435935,0.44244936931761,0.559579939308392,-0.547942724678884,1.60670814109578,1.40502298765946,-0.0892004921496103,-0.969060897703495,6,0,31
"35",-1.52703140264544,-0.143417228906514,-0.465449861752235,-0.721854983008602,1.25626657967938,-0.956844218455167,-1.12919242102103,0.392749667567839,0.968557417706101,0.111142859202456,-1.13770449907007,5,0,32
"36",0.443157097356122,1.78825207684531,-2.16431183966182,0.100334329829762,0.79510349380771,-1.40615508001474,-1.69282849020129,1.37066066013204,1.0932618662642,0.111142859202456,-0.800417296336921,6,0,33
"37",0.443157097356122,1.52079017297198,-1.21294913203245,-0.58852698633211,0.79510349380771,-1.51848279540463,-1.74566937168694,0.999728904331829,1.2179663148223,0.445048444789232,0.211444311862527,6,0,34
"38",0.670486539663995,0.213198642924593,-0.261586424403085,-0.655190984670356,0.252558686899865,-0.956844218455167,-1.48146496425869,0.763681423368047,0.0332740535203434,1.31320296731485,-0.716095495653634,7,0,35
"39",-1.14814899879899,4.67089704081342,-1.55272152761437,-0.788518981346847,3.12804616351145,-1.29382736462485,-1.67521486303941,-0.180508500487044,1.71678410905471,-0.356324960619032,-0.631773694970346,4,0,36
"40",0.0642746935096667,0.629250493394217,0.282049408527981,0.189219660947423,0.469576609663003,-1.01300807615011,-0.477488216031352,1.10089211045915,0.656796296310849,1.9810141384884,-0.0415210901873355,5,0,37
"42",1.20092190504903,1.5802261516105,-0.125677466170319,-0.499641655214449,0.849357974498495,-0.732188787675381,-1.19964692966856,1.03344997304094,0.220330726357494,-0.155981609266966,-1.05338269838678,4,0,38
"43",0.215827655048249,0.866994407948288,-0.805222257334152,-0.54408432077328,7.46840461877421,-1.2376635069299,-1.76328299884882,0.763681423368047,-0.0914303950377577,2.44848195830989,-0.0415210901873355,6,0,39
"44",0.670486539663995,1.87740604480309,-0.669313299101385,-0.632969651890941,0.333940407936042,-1.18149964923495,-1.60476035439187,0.763681423368047,0.469739623473696,4.45191547183055,-0.21016469155391,5,0,40
"45",-0.314607710336788,1.93684202344161,-2.02840288142905,-0.721854983008602,-0.181477158626412,-1.40615508001474,-1.81612388033447,0.561355011113371,1.59207966049661,-0.0892004921496103,-0.884739097020208,5,0,41
"46",-1.98169028726119,1.04530234386384,-1.14499465291607,-0.655190984670356,-0.0729681972448428,-1.2376635069299,-0.864988013592781,-0.38283491274172,4.21087308021673,0.177923976319811,2.15084572757813,4,0,42
"47",0.367380616586831,3.51189545736233,0.757730762342665,-0.632969651890941,1.55466622347869,-0.451369499200647,-0.00192028266050615,0.83112356078626,0.157978502078445,1.31320296731485,-1.13770449907007,5,0,43
"48",1.12514542427974,-0.321725164822067,1.36932107439011,-0.766297648567432,1.5275389831333,-1.01300807615011,-1.35816957412551,0.797402492077153,0.157978502078445,0.311486210554521,-0.884739097020208,5,0,44
"49",-0.617713633413952,0.332070600201628,-0.601358819985002,-0.766297648567432,0.252558686899865,-1.40615508001474,-1.79851025317259,0.426470736276946,0.719148520589898,0.177923976319811,-1.13770449907007,5,0,45
"50",-1.22392547956828,-0.202853207545031,0.350003887644365,-0.810740314126262,0.469576609663003,-1.01300807615011,-0.318965571574403,0.291586461440483,0.594444072031797,0.311486210554521,-1.13770449907007,5,0,46
"51",1.20092190504903,1.87740604480309,-0.397495382635852,-0.744076315788017,0.469576609663003,-1.46231893770969,-1.60476035439187,0.864844629495366,-0.465543740712061,1.37998408443221,-1.13770449907007,5,0,47
"52",-0.466160671875371,1.04530234386384,-1.89249392319629,-0.632969651890941,0.333940407936042,-1.2376635069299,-1.74566937168694,0.359028598858733,1.0932618662642,0.645391796141298,-0.969060897703495,6,0,48
"53",-0.466160671875371,0.926430386586805,-1.89249392319629,-0.655190984670356,0.306813167590649,-1.34999122231979,-1.76328299884882,0.325307530149626,1.03090964198515,0.712172913258654,-0.969060897703495,6,0,49
